gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
CPEB3	0.025636905	0.01983123	0.6718138	0.43846755	0.0024025095	3	0.004581363375	0.00443546065	0.03829307	0	0.000834299	0	0.265009715	0.0488216009999999	0.989995455	0.9798987325	0.06555411	82
LRRC27	0.5448373	0.5794797	0.9906775	0.9909121	0.001727828	3	0.2069012	0.5472897	0.9292409	0.964153	0.0007297121	3	0.8285001	0.6195803	0.9991952	0.9992862	0.005015376	6
LRRC20	0.2183601	0.17241135	0.92876355	0.90274325	0.006073965	13	0.09006645075	0.1195377175	0.6633680225	0.70193071	0.00215360165	6	0.4549225125	0.23783862	0.99689787	0.994863905	0.01469835125	28
SEC61A2	0.1682395	0.2312441	0.971313	0.9802235	0.001125497	3	0.05896842925	0.1811269	0.8063974	0.915714235	0.0006117979	3	0.3879657	0.2784023	0.9993134	0.9992362	0.002262972	5
DDIT4	0.02987106	0.02176444	0.61437145	0.3290029	0.003556499	4	0.004699804	0.004530744275	0.04317582	0	0.0008619084	0	0.3395858	0.05721151625	0.9868854	0.97025616	0.0264415417499999	31
ATP5C1	0.01834144	0.0069219945	0.72758025	0.1327345	0.0009211708	1	0.0005482467	0.0002257858	0.0394333255	0	0.0004498888325	0	0.379843952499999	0.0334206154999999	0.9947254625	0.944085	0.00340525392499999	8
SLC18A2	0.13758415	0.1759927	0.8508203	0.8819453	0.001585406	3	0.04015551	0.1298549	0.44179719	0.697229945	0.0008312417	1	0.7450627	0.2325911	0.9962793	0.9902028325	0.01198491825	15
PPP3CB	0.03297376	0.01140875	0.63968565	0.2830259	0.0037723925	2	0.001958730475	0.000872022855	0.044443697	0	0.00133252755	0	0.4311014875	0.061011655	0.9897396375	0.946206445	0.01395321025	12
ADRA2A	0.1070979	0.042804815	0.9441276	0.86493355	0.0023037455	3	0.022815924	0.01758293	0.5362278075	0.420006225	0.00114731	1	0.6788231	0.08031237	0.9998386	0.99799931	0.00668463472499999	10
TIAL1	0.022563995	0.009207422	0.6894428	0.09956938	0.0011742995	1	0.001065229575	0.0004456191825	0.05357998075	0	0.000653196935	0	0.473479564999998	0.0366568	0.9950575125	0.9200808	0.00686717854999998	9
SORBS1	0.048093395	0.035549925	0.7185956	0.59206965	0.003414482	5	0.009272731075	0.008901461825	0.04557352725	0	0.000732478515	0	0.281166325	0.07759494	0.9884779725	0.97871544	0.02206066775	35
PDSS1	0.20080255	0.1615765	0.9333928	0.90979685	0.0021085075	4	0.06630657125	0.1155223	0.650625825	0.7277537	0.001017475	2	0.5176034	0.21943872	0.9963589	0.994753585	0.01905003	33
